date,text,sentiment
20100211,Sprint Narrows Loss as Fewer Subscribers Flee Most of the improvement in customer figures during the quarter came from Sprintäó»s Boost Mobile and Virgin Mobile USA prepaid services.,0
20100211,Motorola Considers Merging Units for a Spinoff The companyäó»s plans to remake itself have included shopping its set-top box business and its wireless networking units.,1
20100212,"Motorola Outlines Plan to Split Into Two Companies The split is meant to finally divide Motorola into smaller, more focused operations.",1
20100212,"Alcatel-Lucent Posts Profit, but Slow Sales Depress Shares The merged company, which has struggled with billions in losses, said it expected full profitability by 2011.",0
20100216,"Mobile Data, the Next Generation: High Speeds but at What Cost? Carriers are wary of repeating the mistakes of a decade ago, when billions were spent on equipment and licenses for third generation networks that were largely ignored by consumers until Apple introduced the iPhone.",0
20100217,A Conference Keen on Finding Open Communication Experts say the state of play for apps is a cacophony of incompatible software that threatens to slow the growth of the mobile Internet.,0
20100218,"Turning Patents Into äóÖInvention Capitaläó» Intellectual Ventures has acquired 30,000 patents and has so far collected more than $1 billion in license fees.",0
20100218,"Skype in a Struggle to Be Heard on Mobile Phones Many cellular operators block Skypeäó»s calls, or outlaw the use of VoIP service in their contracts.",0
20100218,Will Carriers Offer a Better Way to Get Voice Mail? We all should have known that it boils down to money. Tedious voice-mail recordings make it; fixing the system costs it.,0
20100219,Wal-Mart Dispels Inflation Fears,1
20100225,"Locked or Unlocked? Today, That Is the Money Question Consumers have to do the math when deciding whether to pay more upfront for the freedom of a so-called unlocked phone or pay less for a device with strings attached.",0
20100226,"Its Smartphones Selling Weakly, Palm Cuts Its Forecast; Shares Fall The company cited slower-than-expected consumer adoption of its products, leading to orders that were weaker than expected.",0
20100302,"New Scrutiny on Censorship Issues for U.S. Companies in China Now that Google has thrown down the gauntlet, American companies may find arguments about the need to obey local laws do not offer blanket protection from questions about conduct.",0
20100302,"Digital Billboards, Diversions Drivers Canäó»t Escape The effect of high-tech billboards on highway safety is being debated in state legislatures.",0
20100305,"Tireless Employees Get Their Tribute, Even if Itäó»s in Felt and Polyester A campaign from Zappos features puppets, styled after actual company employees, interacting with customers and demonstrating their patience.",0
20100308,"At the Last Minute, a Disney-Cablevision Truce The companiesäó» feud, most recently exemplified by a Disney move that temporarily prevented Cablevision customers from viewing the Academy Awards, promises to spread across the country to other cable providers and stations.",1
20100310,"New Rules Sought on TV Retransmission With a petition to the F.C.C. and a letter to Congressional leaders, cable and satellite providers said the current rules were äóìbroken and in need of repair.äóù",0
20100311,"Tricks to Keep Your Deviceäó»s Battery Going and Going Smartphone and laptop batteries may seem like cruel masters when they threaten to lose power, but you have more control than you may think.",1
20100316,Mobile Fees Under Pressure With Network Rollout The introduction of faster Long-Term Evolution networks could lower costs for operators and potentially unleash a new price war in the industry in Europe.,0
20100318,"Just in Time for äóÖPlay Ball,äó» Apps for the Baseball Afflicted There are several iPhone apps that allow users to follow Major League Baseball games in excruciating detail.",1
20100322,Reining In Greed at Goldman Goldman Sachs made a mistake by setting aside 49 percent of revenue in the first half of 2009 for pay for its employees.,0
20100325,Catholic Charity and Sprint Tangle Over Texting A Catholic charity is still seeking answers after Sprint discontinued a fund-raising effort by text for Haiti.,0
20100325,Take a Few Hours and Unlock Some Cash Keeping a financial to-do list and tackling it once a year can put significant money back in your wallet.,1
20100329,"Analysts Ask if the iPad Can Live Up to Its Hype With high expectations for the tablet, Appleäó»s biggest challenge will be achieving the mass-market penetration and cultural impact of the iPod and iPhone.",1
20100331,"Wall Street Manages to Stay on Positive Side The latest batch of data on the housing market and consumer confidence provided some hope, but it also brought steep hurdles into focus. .",1
20100407,U.S. Court Curbs F.C.C. Authority on Web Traffic A ruling would let providers slow down access to certain content and favor their services over those of competitors.,0
20100407,Bringing You a Signal Youäó»re Already Paying For Small devices that act as cell towers are poised for big sales. But they cost extra.,0
20100407,"Malone Trims DirecTV Stake In a share exchange, John Malone&#8217;s voting power in DirecTV will drop to 3 percent. He will come out about $162 million richer.",0
20100408,"AT&T Image Campaign Accentuates the Positive, Not Products Things are starting to look up on Madison Avenue, or so it seems, as more advertising takes on the type of upbeat tone that had been noticeably missing during this recession.",1
20100412,"Accounts, People & Miscellany Client assignments, executive appointments and other developments in the advertising business.",0
20100413,"New Microsoft Phones Aim at a Younger Crowd The phones have social-networking features, like the ability to update  status messages on sites like Facebook, Twitter and MySpace, all at once.",1
20100413,Reports That Palm Is to Be Sold Lift Its Stock Two people close to the company say it is seeking a buyer after its slick new smartphone failed to make a splash.,1
20100415,"Your Financial Situation, in the Palm of Your Hand Several applications for smartphones let you monitor your money, including a free app that has color-coded spending summaries.",1
20100419,Getting What You Pay For on the Mobile Internet Mobile traffic is booming. So operators are starting to look for ways to make clients pay based on use.,1
20100419,"Looking Ahead Economic reports, corporate earnings and hearings this week in Washington.",1
20100422,"A Touch-Screen Field Guide to the Birds, for Instant IDs A variety of smartphone and iPad apps can help birders identify species by a birdäó»s characteristics, its song and even its neighborhood.",1
20100423,"At Verizon, Tax Charge Trims Profit The results include a charge to reflect a change in health care law regarding the tax treatment of benefits.",0
20100423,"CenturyTel to Acquire Qwest in $10.6 Billion Deal The combined company will serve about 5 million broadband customers and 850,000 wireless customers.",1
20100426,People and Accounts of Note in Advertising People and accounts of note in the ad world.,1
20100427,Inquiry Says Health Care Charges Were Proper Democratic staff of the Energy and Commerce Committee concluded that companies acted properly when they took charges to prepare for changes in the health care law.,0
20100429,"Dead Zone Doldrums Test Skills of iPhone Customers To offset inconsistent cellular service, users have resorted to making calls from different locations and investing in microcell hardware.",1
20100429,Comcastäó»s Revenue Rises 3.8% as Local Ads Start to Return The company&#8217;s first quarterly ad growth in two years was seen as a positive sign for the television advertising market.,1
20100430,"Going to New Jersey to Find America The characters and culture of New Jersey are being embraced by television networks, advertisers and other shapers of the popular culture.",1
20100430,Revenue Increases 5.4% at Time Warner Cable The companyäó»s first-quarter net income rose to $214 million compared with $164 million a year earlier.,1
20100430,"How the Destinies of Motorola and Palm Grew Apart For much of this decade, the fates of Palm  and Motorola  were intertwined. But their paths have now sharply diverged.",1
20100503,"Webäó»s Users Against Its Gatekeepers With the majority of Internet traffic expected to shift to mobile networks, there is a growing debate about whether network operators should be allowed to treat users differently.",1
20100503,"Audiences, and Hollywood, Flock to Smartphones  The mobile-video audience is tiny, but TV and film companies foresee an increasingly wireless world äóî and donäó»t want to be left out of the picture.",1
20100503,"Time Warner Cable Puts a New Name on News Stations The effort started in upstate New York and most recently has included Austin, Texas.",1
20100506,"A Bank&#8217;s Ads, Dressed Up in Historical Garb The History Channel produced 12 spots for Bank of America, the sponsor of its series &#8220;America: The Story of Us.&#8221;",0
20100507,Alcatel Blames Parts Shortage for Steep Loss The company said the U.S. economic recovery was accelerating so rapidly it was unable to obtain enough basic electronic parts to meet demand for its network equipment.,1
20100507,F.C.C. Proposes Rules on Internet Access The new approach would reclassify the transmission component as a basic utility subject to oversight.,1
20100513,"E-Reader Applications for Today, and Beyond Because the reading experience on book-reading apps is not significantly different, the hard choice comes down to differentiating how you select your books, and how you may one day like to use them.",1
20100517,"Accounts, People and Miscellany Accounts, people and miscellany.",1
20100524,"Cuts to Child Care Subsidy Thwart More Job Seekers State cuts in child care are forcing many low-income parents to forgo work, and threaten to undo the progress of welfare changes enacted in 1996.",0
20100527,"Rumors Are Realized in New App Phones Two new Kin app phones from Microsoft and the Incredible (yes, the Incredible) from HTC have arrived after months of rumors and leaks.",1
20100603,Thrifty Wi-Fi That Travels With You Easy Wi-Fi connections that go anywhere and cost less are available from the growing number of devices made to create hot spots.,1
20100603,"Heaviest Users of Phone Data Will Pay More AT&T will offer unlimited data plans to new smartphone customers, who will pay based on what they use.",1
20100603,"AT&Täó»s Capped Data Plan Could Save You Money Iäó»m the first guy to lead the charge against cell-carrier greed. But AT&Täó»s plan to end its unlimited data plan for smartphones is different. This time, I think youäó»ll wind up coming out ahead.",1
20100607,"App Makers Worry as Data Plans Are Capped As AT&T adopts tiered pricing, developers wonder whether consumers will lose their appetite for innovative features and bandwidth-heavy video.",0
20100608,"On Newest iPhone, Another Camera The new iPhone 4 will be available June 24 and is priced at $199 for the 16-gigabyte version and $299 for the 32-gigabyte version.",1
20100609,"Itäó»s Just a Few Deals, but the Office Market Is Stirring The market has been stagnant for years, but investors are becoming active again.",0
20100610,"Following World Cup, Phone in Hand Better phones and more services and apps will give fans more options for following the tournament.",1
20100610,When to Buy Your Child a Cellphone A study found that 75 percent of 12- to 17-year-olds in the United States owned a mobile phone. Parents say they generally buy their child a phone for safety reasons.,1
20100610,"New iPhone Creates Familiar Dilemma for Existing Customers The release of the new iPhone will come the usual waves of rage from people who bought last yearäó»s model, furious that they wonäó»t get the $200 new-customer price from AT&T.",0
20100616,A Face-Off Over Sale of Spectrum by F.C.C. A House panel considering legislation to pay for a public safety network has a hearing set for Thursday.,0
20100617,Is Verizon Wireless Making It Harder to Avoid Charges? A customer-service representative from Verizon Wireless said that the company has put a new policy in place to attempt to get more money from customers through data plans.,0
20100621,"Accounts and People of Note in the Ad Industry David W. Almy joined the Marketing Research Association , Glastonbury, Conn., as chief executive.",0
20100624,Shares Mixed After Fed Statement Early gains after the opening bell disappeared after a report showed a big drop in U.S. new-home sales.,0
20100628,Nokia Looks to Increase Applications A marketing effort by Nokia to take on Apple in France is among the Finnish company's steps to reclaim lost momentum.,1
20100701,"Big Phone, Big Screen, Big Pleasure Speed plus power plus no dropped calls plus clever design. They add up to the Motorola Droid X, the latest äóìbest Android phone on the market.äóù",1
20100701,"Thatäó»s a Nice Phone, but Howäó»s the Network? Web sites offer help, but asking friends about a carrieräó»s network reliability works, too.",0
20100701,"Microsoft Kin Discontinued After 48 Days The Kin, a Microsoft smartphone aimed at a younger demographic that began selling on May 13, was discontinued because of disappointing sales.",0
20100708,"TV on a PC or Phone Has Some Drawbacks On the Internet, some episodes of shows are available only for a fee, and other shows are not available at all. Clicker.com can help you sort it all out.",0
20100709,Smartphone Patent Suits Challenge Big Makers NTP charges that the cellphone e-mail systems of the companies are illegally using its patented technology.,0
20100712,Madison Avenueäó»s World of Tomorrow The Media Kitchen agency and Popular Science have teamed up to test cutting-edge devices to learn about advertising on them.,0
20100712,"In Cable Delivery, Rivals Are Pouncing Verizonäó»s play for subscribers is fresh evidence that cable giants like Time Warner are under increasing pressure.",1
20100712,"What if AT&T Loses iPhone Exclusivity? The carrier, which only recently ended its all-you-can-eat data buffet, has attracted bandwidth gluttons with the phone, who might be worth nothing.",0
20100715,"Apps We Wish We Had Hundreds of thousands of apps exist, but new ones are welcome. Here, app ideas from parking to getting dressed.",0
20100715,"Even Without iPhone, Verizon Is Gaining on AT&T Thanks to a collaboration with Google, Verizon may decide it does not need Appleäó»s iPhone on its network.",1
20100716,Goldman Pays $550 Million to Settle Fraud Case The bank agreed to pay $550 million to settle claims that it misled investors with a subprime mortgage product.,0
20100716,"An Encouraging Sign in Loan Loss Reserves In an encouraging sign, almost a third of JPMorganäó»s second-quarter profit came from a $1.5 billion gain on releasing reserves for loan losses.",0
20100719,"Economic Reports This Week Reports will include leading economic indicators for June, and corporate earnings from Goldman Sachs, McDonaldäó»s, Apple and many other companies.",1
20100719,"47-18-35-Hut: N.F.L.äó»s Fantasy Game Gets Digital Treatment The N.F.L hires a digital agency, Tribal DDB, to heighten the profile of its official fantasy football game, which will provide access to actual game highlights and video analysis.",1
20100720,Nokia Siemens Agrees to Pay Cash for Division of Motorola The acquisition of Motorolaäó»s telecommunications network equipment business gives Nokia Siemens a stronghold in the cutthroat mobile gear market.,1
20100722,"Hitting the Road, With Apps A three-and-half hour car trip with two youngsters in the back seat seemed like the perfect opportunity to test which gadgets and apps could be of help on the open road.",1
20100722,"G4 Channel to Become 4G in a Week of Sprint Promotion The change, which will last seven days, is intended to give visibility to Sprint Nextel&#8217;s next-generation wireless Internet service.",1
20100726,"Screenvision to Revamp Preshow Ads at Cinemas The cinema advertising company is trying to make ads before movies more entertaining by using celebrities and sponsors, and including cellphone interaction.",1
20100729,"Sprint Nextel Reports Gain in Subscribers Despite the overall gain in customers, the wireless phone provider posted a quarterly loss because of tax issues.",1
20100730,Profit Beats Estimates At Motorola Strong demand for a line of smartphones using Googleäó»s Android operating system helped sales.,1
20100802,"Technology Races to Meet Tide of Data Big advances, often unheralded, in optical transport, data filtering and networking are keeping the Internet from collapsing under its own weight.",1
20100805,"Cellphone Service by the Day, Month or Tankful Offering greater freedom and long-term savings, no-contract plans are on the rise, with many options available and a growing clientele.",1
20100805,Google and Verizon Near Deal on Web Pay Tiers An agreement could lay the foundation for a system in which companies would pay to move their content faster.,1
20100806,F.C.C. Chief Opposes Fees for Internet Priority The comments were in response to reports that Google and Verizon were near a deal for faster service.,1
20100810,"Shares Gain as Investors Await Fed Meeting Economic data in the United States continues to point toward a slowdown, which has added to the importance of Tuesdayäó»s Fed meeting.",1
20100810,"Web Plan From Google and Verizon Is Criticized The plan, which includes exceptions for wireless Net access, was criticized by groups that want to keep the network as open as possible.",1
20100810,Net Neutrality Brian Stelter and David Gallagher discuss Google and Verizon.,1
20100812,"Web Plan Is Dividing Companies Facebook said it would not support a proposal by Google and Verizon to regulate Internet access, while an AT&T executive called the plan a äóìreasonable framework.äóù",1
20100816,"A Better Way to Keep the Net Open and Accessible Instead of calling for government-guaranteed äóìnetwork neutrality,äóù U.S. advocates of an unfettered Internet ought to seek greater competition among broadband service providers.",0
20100816,"Tapping the Web, 22,000 Miles Up Internet access via satellite tends to serve the underserved. With new technology, the providers hope to upgrade their service at lower cost.",0
20100816,"Internet Proposal From Google and Verizon Raises Fears for Privacy Advocates of online privacy say that without Internet neutrality, the Internet becomes more like a mall and less like a public square.",0
20100816,Google Plan With Verizon Disillusions Some Allies Groups that saw Google as a top ally in the fight for net neutrality see its proposal with Verizon as a retreat.,1
20100816,"Variable Pricing and Net Neutrality Telecommunications giants like AT&T and Verizon and companies like Google, Apple and Microsoft that rely on the Internet need to find common ground on sharing the cost of increasing bandwidth.",0
20100816,Q. and A. With Stuart Elliott A solution is found for the äóìmonkey or chimpäóù problem in a Dodge sales event commercial.,1
20100823,"In the Living Room, Hooked on Pay TV Despite the proliferation of Internet video, few Americans are actually canceling pay TV and watching shows online.",0
20100830,"Accounts and People of Note in the Ad Industry Chris Apostle joined R/GA, New York, part of the Interpublic Group of Companies, in a new post, managing director for client services.",0
20100902,F.C.C. Seeks More Input on Wireless Internet Rules The F.C.C.&#8217;s decision to seek more comments on preserving an open and competitive Internet precludes any agency action before the midterm elections.,1
20100902,"Your Own Hot Spot, and Cheap Virgin Mobile&#8217;s MiFi is nearly like the ones offered by Sprint and Verizon but with three exceptions: an unlimited data plan, no contract and a $40-a-month service fee.",1
20100908,Vodafone to Sell Its Stake in China Mobile for $6.6 Billion About 70 percent of the proceeds of the $6.6 billion sale will be returned to shareholders through a stock repurchase,1
20100908,"Bedbugs Bad for Business? Depends on the Business Bedbugs are showing up in commercial settings, creating a bonanza for companies that deal with the scourge.",1
20100909,"Apps as Tour Guides Through New York Museums, Step by Step New museum apps for New York demonstrate the potential for technology to help people make the most of a museum visit.",1
20100909,"Finding a Smartphone to Fit Your Needs, Under $100 If you just want to send e-mail or get access to the Web from your phone, there are many entry-level devices to peruse.",0
20100913,"Fastest Net Service in U.S. Coming to Chattanooga The service will put a midsize Southern city among the world leaders in digital technology, but the speed will be expensive.",1
20100913,H.P. Is Said to Be Near Deal for Security Software Maker Buying ArcSight would bolster Hewlett-Packardäó»s security and network offerings. The companyäó»s products help monitor data networks for suspicious activity.,1
20100916,"Tracking Favre or the Mannings, Tricked-Out Phone in Hand Subscriptions and apps make it easier than ever for smartphone owners to follow the N.F.L.",1
20100916,Rethinking Investments After a Flight to Security Four financial advisers offer a variety of ideas for investing with significantly better yields than C.D.&#8217;s or money market funds while limiting risk.,1
20100921,Bonding With Fans Who Canäó»t Get Enough Sports teams are using cellphone tie-ins to strengthen their connections with ardent fans.,1
20100930,"Watching TV on a Tiny Screen Adding television to your cellphoneäó»s package, and some free options for thwarting computer malware.",1
20101004,"Verizon Wireless to Pay Millions in Refunds Verizon Wireless will pay up to $90 million to 15 million cellphone customers who were wrongly charged, one of the largest-ever refunds by a telecommunications company.",0
20101011,"News From the Advertising Industry Account assignments, executive appointments and other developments at advertising agencies.",0
20101011,"Accounts and People of Note in the Ad Industry Ian Baer and Christopher Kelly joined Rauxa, Costa Mesa, Calif.",0
20101012,"Microsoft Introduces (and Pins Its Hopes on) Windows Phone 7 Phones running Windows Phone 7 will be available on AT&Täó»s network in November, and will be introduced on other carriers later.",0
20101013,F.C.C. Wants to Stop Cellphone äóÖBill Shockäó» The Federal Communications Commission will propose rules that require mobile phone companies to alert customers when they are about to incur extra usage charges.,0
20101014,Cablevision Subscribers Facing Loss of Fox Shows Cablevision and News Corporation are locked in contentious negotiations over an agreement that gives Cablevision the right to carry local Fox stations like WNYW in New York City.,0
20101015,"Verizon Wireless Is to Sell Apple iPads Verizon Wireless is to begin selling the iPad at its stores on Oct. 28, a sign that the company is growing closer to Apple.",1
20101018,Will Appleäó»s Culture Hurt the iPhone? Appleäó»s PC-versus-Mac battle almost put it out of business. Is it creating a similar one in the smartphone field?,0
20101019,"A Hedge Fund Controlled by Women, So It Claimed The thriving hedge fund may have misled customers when it said it was owned and operated by women when it was financed by S. Donald Sussman, a hedge fund mogul.",0
20101022,AT&#38;T Says Loss of iPhone Exclusivity Won&#8217;t Hurt Growth AT&#38;T said it activated a record 5.2 million new iPhones in the third quarter.,0
20101025,"Fox-Cablevision Dispute May Obstruct Customersäó» View of World Series As a blackout drags on and talks show no sign of movement, the likelihood is growing that Cablevision customers will miss Foxäó»s scheduled broadcast of the World Series.",0
20101027,"In Times Square, at Least, Retailing Is Rebounding In neighborhoods like Times Square and SoHo, the presence of tourists is making space desirable.",0
20101028,"Comcast Loses More Subscribers Than Expected, but Its Earnings Top Estimates Comcast said its loss of 275,00 basic cable television subscribers was a result of the weak economy.",0
20101028,"Fixing a PC That Canäó»t Keep the Right Time If software settings are correct, a common culprit for lost time äóî especially on an older computer äóî is a fading CMOS battery on the motherboard.",0
20101029,Verizon Deal Ends Inquiry Over Fees The company will pay $25 million to the Treasury and a minimum of $52.8 million in refunds to its customers.,0
20101104,"Managing Your Passwords, With a Little Help From an App These password managers can challenge a useräó»s patience, but LastPass may be the least challenging of the bunch.",0
20101105,Alcatel Lucent Sees 'Turning Point' After Deals in U.S. and China The company announced its first quarterly profit of the year and $5.7 billion in deals to build high-speed wireless networks and supply other gear.,1
20101110,Vodafone Selling Stake in Softbank The mobile-phone company also raised its full-year earnings outlook after a strong first half.,1
20101111,"Itäó»s a Tablet. Itäó»s Gorgeous. Itäó»s Costly. Samsung presents the Galaxy Tab, a new Android tablet with many features and a light touch. But itäó»ll cost you.",1
20101117,"Bryant Park Finds Bright Spots Amid the Gloom Shaken by the real estate crash, the Bryant Park office submarket has attracted buyers looking for real estate bargains.",1
20101117,"F.B.I. Seeks Wider Wiretap Law for Web The agencyäó»s director, in meeting with Silicon Valley executives, says it is necessary for a 1994 law to be freshened to cover Internet companies.",0
20101118,Cellphone Carriers Try to Control Signal Boosters The companies want the F.C.C. to more tightly regulate the makers of devices that amplify weak signals to improve reception.,0
20101129,"For PayPal, the Future Is Mobile A strategy to expand PayPal, the online payment service, to retailers outside of eBay&#8217;s auction business is paying off handsomely.",0
20101202,"Fed Documents Breadth of Emergency Measures Efforts to help stabilize the markets during the financial crisis reached far beyond Wall Street, new data show.",1
20101202,"Mixed Reaction to F.C.C. Internet Plan The chairmanäó»s proposal, forbidding service providers from blocking lawful content and requiring them to tell consumers how they manage networks, faces an uncertain path.",0
20101202,"Verizon to Introduce Its 4G Network on Sunday Laptop users will be first to be able to use the speedier network, with 4G smartphones available next summer.",1
20101203,"Shopping for a Smartphone, With a Focus on Features First consider whether the phone has the right features for the prospective user and how well those features work.",1
20101216,"An Android Phone That Says äóÖGoogleäó» Not another cellphone, you say? Google presents the Nexus S, an Android not to be confused with the Nexus from a year ago.",1
20101221,"Skype Looks for a Spot in Offices and Cellphones Skype, a financial underachiever, is trying to find new ways to make money from its 124 million users.",1
20101221,AT&T Will Buy More Spectrum AT&T wants to introduce its fourth-generation broadband service next year.,1
20101221,"F.C.C. Is Set to Regulate Net Access The new rules would create two classes of Internet access, one for fixed-line providers and the other wireless.",0
20101230,10 Ways to Get the Most Out of Technology Two hours of work on improving your technological life will pay off handsomely in both increased free time and diminished anxiety and frustration.,1
20101230,"How to Make MiFi Work With PCs and Smartphones A mobile Internet hot spot like a MiFi device has its advantages, but may not be cost-effective.",0
20110105,An Electronics Show That Media Companies Dare Not Miss The Consumer Electronics Showäó»s status as a media summit meeting has risen in the last few years.,0
20110106,"Giving Those Old Gadgets a Proper Green Burial Many electronics makers and sellers offer recycling programs, yet only about 14 percent of electronics products are recycled.",0
20110107,"Shares Mixed as Investors Wait to See Jobs Report More Americans filed for unemployment last week, while the retail sales results for December failed to match expectations.",0
20110107,"With Android Phones, Verizon Is in Position to Gain Lost Ground Verizon, which passed on becoming the initial carrier for the iPhone, now stands to gain by carrying iPhones and Android phones on an expanded 4G network.",0
20110110,A TV-Internet Marriage Awaits Blessings of All Parties The future of cable and satellite distributors may hinge on how they handle the union of television and the Internet.,1
20110110,1986 Privacy Law Is Outrun by the Web Many Internet companies and consumer advocates say that the main law governing communication privacy is outdated.,0
20110111,"Telecom Companies Lead Shares Lower Shares of AT&T fell on the expectation that its rival Verizon will sell the iPhone, breaking AT&Täó»s lock on that market.",0
20110111,"AT&T and Verizon Trade Taunts Over iPhone Verizon is set to offer an iPhone, cranking up the fight over smartphones, which generate substantial revenues.",0
20110111,"New Home for the iPhone Sam Grobart, personal technology editor for the Times, talks about the problems and promise for the new iPhone.",0
20110112,Battle Is Set as Verizon Adds iPhone The highly anticipated move marks the end of a five-year agreement of exclusivity between Apple and AT&T.,0
20110112,Adding Up Parts at Goldman Sachs New rules on earnings reporting makes valuing Goldman a bit easier than it once was.,0
20110113,"Tech Show Surprises, and the Stale The Consumer Electronics Show outshone last yearäó»s gloom-and-doom edition by showcasing a few innovative products like the Atrix app phone from Motorola.",0
20110118,"Jobs Takes Sick Leave at Apple Again, Stirring Questions Steven P. Jobs, the chief executive of Apple is taking leave a year and a half after a liver transplant. Timothy D. Cook is to oversee day-to-day operations.",0
20110119,"Appleäó»s Strong Holiday Season Lifts Revenue 70% The results far exceeded analystsäó» bullish expectations. Even so, they were overshadowed by the decision by Steven P. Jobs, the chief executive, to take a medical leave.",1
20110121,"At Google, a Boost From E-Commerce Holiday shoppers relied on the its search tools, helping to increase revenue, and a research firm said Googleäó»s share of display ad revenue had grown significantly.",1
20110121,A Short-Circuit to Distracted Driving Cell carriers are exploring technology aimed at reducing distractions by temporarily interrupting service.,0
20110121,Verizon Sues F.C.C. to Overturn Order on Blocking Web Sites A legal challenge had been expected to the F.C.C.äó»s rule on net neutrality.,0
20110124,Economic Reports for the Week The high points of the week will include the Federal Open Market Committeeäó»s statement Wednesday and the release of fourth-quarter G.D.P. Friday.,0
20110126,"Verizonäó»s Earnings Fall Short of Expectations, but Growth in Wireless Users Is Strong The company reported 872,000 new contract customers for the fourth quarter, and said that nearly 75 percent of them purchased smartphones.",0
20110126,"Shares Stall as Investors Await Policy News Four Dow components reported results. In addition, a monthly housing index showed a decline in prices in November.",0
20110126,"Who Invests in Low-Income Housing? Google, for One As banks retreat, corporations like Google and Verizon are stepping up to buy tax credits from developers of low-income housing and get the projects moving again.",0
20110127,"Looking for Cheaper Gasoline, Without the Drive The price information can be rather hit or miss, but some apps offer more options.",0
20110128,"AT&T Will Push Its Android Phones With Verizon Wireless preparing to sell iPhones too, AT&T will shift its strategy to market smartphones with Android operating systems.",0
20110203,"News Corporation Introduces The Daily, a Digital-Only Newspaper For the company, the iPad app represents an opportunity to try to reinvent the business model for news publishing.",1
20110203,"For iPhone, Almost Heaven The Verizon iPhone will become available on Feb. 10. Does AT&T have anything to worry about?",1
20110207,"Accounts and People of Note in the Ad Industry Julio Arrieta joined Lopez Negrete Communications, Houston, as executive group account director on the Verizon account, which the agency was awarded last year.",1
20110210,"As Verizonäó»s iPhone Sales Begin, Gauging the Effects on AT&T When Verizon begins selling the iPhone 4 on Thursday, its anticipated sales success could alter the wireless industry, some analysts say.",0
20110211,"Sprint Adds Subscribers For First Time Since 2007 Sprint Nextel added 58,000 subscribers in the fourth quarter, far above expectations, and also reported that it had narrowed it loss from a year ago.",1
20110214,"Video Calling Ready to Take Leap Into Mainstream The demand for services like Skype is expected to skyrocket, thanks to better mobile phones, faster communications networks and a generation raised on social networking.",1
20110217,Comcast Posts 7% Rise in Revenue as Subscribers Buy Bigger Cable Packages The nationäó»s largest cable company reported results for the last quarter before it took control of NBCUniversal.,1
20110217,"Data Seen Overwhelming Cell Networks As the popularity of smartphones continues to grow, the challenge, on a global scale, may only get greater.",1
20110218,"Apple Is Weighing a Cheaper iPhone To broaden the appeal of the iPhone, Apple has been exploring ways to make the popular device less expensive.",1
20110224,"Security to Ward Off Crime on Phones With smartphones outselling PCs for the first time, the long-predicted crime wave on hand-held devices appears to have arrived.",1
20110224,"Before Rush, One Tablet Stands Out The Motorola Xoom, one of the most eagerly awaited iPad rivals, has arrived. It has slightly upgraded hardware, but its Google tablet software, known as Honeycomb, is the more important story.",1
